row_index,entry_id,title,route_hint,section_route_confidence,digests_count_used,chosen_route,chosen_summary,final_summary,global_summary,introduction_summary,methods_summary,results_summary,conclusion_summary
0,http://arxiv.org/abs/2205.08287v5,Bankrupting DoS Attackers,section_plus_global,0.8222,4,section_plus_final,"This study is about Can we make a denial-of-service attacker pay more than the server and honest clients? Consider a model where a server sees a stream of jobs sent by either honest clients or an adversary. The server sets a price for servicing each job with the aid of an estimator, which provides approximate statistical information about the distribution of previously occurring good jobs. We describe and analyze pricing algorithms for the server under different models of synchrony, with total cost parameterized by the accuracy of the estimator. Additionally, we prove a lower bound, showing that our pricing algorithm yields asymptotically the same cost as the attacker's cost, even if the attacker has a higher number of good jobs than theserver. Finally, the results show that our algorithm can be","This study is about Can we make a denial-of-service attacker pay more than the server and honest clients? Consider a model where a server sees a stream of jobs sent by either honest clients or an adversary. The server sets a price for servicing each job with the aid of an estimator, which provides approximate statistical information about the distribution of previously occurring good jobs. We describe and analyze pricing algorithms for the server under different models of synchrony, with total cost parameterized by the accuracy of the estimator. Additionally, we prove a lower bound, showing that our pricing algorithm yields asymptotically the same cost as the attacker's cost, even if the attacker has a higher number of good jobs than theserver. Finally, the results show that our algorithm can be","This study is about Bankrupting DoS Attackers. Can we make a denial-of-service attacker pay more than the server and honest clients? Consider a model where a server sees a stream of jobs sent by either honest clients or an adversary. The server sets a price for servicing each job with the aid of an estimator, which provides approximate statistical information about the distribution of previously occurring good jobs. We describe and analyze pricing algorithms for the server under different models of synchrony, with total cost parameterized by the accuracy of the estimator. Given a reasonably accurate estimator","Can we make a denial-of-service attacker pay more than the server and honest clients? Consider a model where a server sees a stream of jobs sent by either honest clients or an adversary. We describe and analyze pricing algorithms for the server under different models of synchrony, with total cost parameterized by the accuracy of the estimator.","Consider a model where a server sees a stream of jobs sent by either honest clients or an adversary. The server sets a price for servicing each job with the aid of an estimator, which provides approximate statistical information about the distribution of previously occurring good jobs. We describe and analyze pricing algorithms for the server under different models of synchrony, with total cost parameterized by the accuracy of the estimator.","Additionally, we prove a lower bound, showing that our pricing algorithm yields asymptotically the same cost as the attacker's cost, even if the attacker has a higher number of good jobs than the server. Finally, the results show that our algorithm can be used to make a denial-of-service attacker pay more than a server and honest clients.","Additionally, we prove a lower bound, showing that our pricing algorithm yields asymptotically the same rate of service as the attacker, even if the attacker's cost grows more slowly than the server's cost. Finally, the results show that our algorithm can be used as a filter for detection tools that detect attacks: when there is no attack detected in the input interval, the estimator can return the expected number of good jobs in the interval; when there"
1,http://arxiv.org/abs/2204.10479v7,Finite-Time Accuracy of Temporal-Difference Learning Under Schur-Stable Recursions,global_only,0.5077,1,global_only,"This study is about Finite-Time Accuracy of Temporal-Difference Learning Under Schur-Stable Recursions. Temporal difference (TD) learning is a cornerstone reinforcement learning (RL) method for policy evaluation, where the goal is to estimate the value function of a Markov decision process under a fixed policy. While a substantial body of work has established its convergence and stability properties, more recent efforts have focused on its statistical efficiency through finite-time error bounds. In this study, we advance this line of research by developing a new finite time error analysis for tabular TD learning that directly exploits a discrete-time stochastic linear system representation and leverages Schur stability of the associated matrices. Beyond the specific bounds obtained, the proposed framework provides a reusable template for",,"This study is about Finite-Time Accuracy of Temporal-Difference Learning Under Schur-Stable Recursions. Temporal difference (TD) learning is a cornerstone reinforcement learning (RL) method for policy evaluation, where the goal is to estimate the value function of a Markov decision process under a fixed policy. While a substantial body of work has established its convergence and stability properties, more recent efforts have focused on its statistical efficiency through finite-time error bounds. In this study, we advance this line of research by developing a new finite time error analysis for tabular TD learning that directly exploits a discrete-time stochastic linear system representation and leverages Schur stability of the associated matrices. Beyond the specific bounds obtained, the proposed framework provides a reusable template for",,,,
2,http://arxiv.org/abs/2210.00310v2,Parametrized Power-Iteration Clustering for Directed Graphs,section_plus_global,0.8437,4,section_plus_final,"the study introduces Parametrized Power-Iteration Clustering (ParPIC), a random-walk-based clustering method for weakly connected digraphs. Vertex-level clustering for directed graphs (digraphs) remains challenging as edge directionality breaks the key assumptions underlying popular spectral methods, which also incur the overhead of eigen-decomposition. the authors present a new method, ParPIC, that uses the iterated diffusion operator as a data embedding. This builds over the Power- iteration Cl","the study introduces Parametrized Power-Iteration Clustering (ParPIC), a random-walk-based clustering method for weakly connected digraphs. Vertex-level clustering for directed graphs (digraphs) remains challenging as edge directionality breaks the key assumptions underlying popular spectral methods, which also incur the overhead of eigen-decomposition. the authors present a new method, ParPIC, that uses the iterated diffusion operator as a data embedding. This builds over the Power- iteration Cl","This study is about Parametrized Power-Iteration Clustering for Directed Graphs. Vertex-level clustering for directed graphs (digraphs) remains challenging as edge directionality breaks the key assumptions underlying popular spectral methods, which also incur the overhead of eigen-decomposition. this study proposes Parametripated Power-Aimed Clusters (ParPIC), a random-walk-based clustering method for weakly connected digraphs. This builds over the Power-Processing paradigm, which uses the rows of the iterated diffusion operator as a data embedding. ParPIC has three important features: the use of parametriated reversible random walk operators, the automatic tuning of the diffusion time, and the efficient trunc","Vertex-level clustering for directed graphs (digraphs) remains challenging as edge directionality breaks the key assumptions underlying popular spectral methods, which also incur the overhead of eigen-decomposition. this study proposes Parametrized Power-Iteration Clustering (ParPIC), a random-walk-based clustering method for weakly connected digraphs.","Vertex-level clustering for directed graphs (digraphs) remains challenging as edge directionality breaks the key assumptions underlying popular spectral methods, which also incur the overhead of eigen-decomposition. this study proposes Parametrized Power-Iteration Clustering (ParPIC), a random-walk-based clustering method for weakly connected digraphs.","this study proposes Parametrized Power-Iteration Clustering (ParPIC), a random-walk-based clustering method for weakly connected digraphs. Empirical results on synthetic and real-world graphs demonstrate that ParPIC achieves competitive clustering accuracy with improved scalability relative to spectral and teleportation-based methods.","Vertex-level clustering for directed graphs (digraphs) remains challenging as edge directionality breaks the key assumptions underlying popular spectral methods, which also incur the overhead of eigen-decomposition. This builds over the Power-Iteration Clustering paradigm, which uses the rows of the iterated diffusion operator as a data embedding."
3,http://arxiv.org/abs/2210.05607v2,Divergence Results and Convergence of a Variance Reduced Version of ADAM,section_plus_global,0.8273,4,section_plus_final,"This study is about ADAM: A Variance Reduction Analysis of ADAM. Despite of its outstanding performance, ADAM has been proved to be divergent for some specific problems. To this end, the authors present a variance reduction assumption, the results show that an ADAM-type algorithm converges, which means that it is the variance of gradients that causes the divergence of original Adam. We revisit the divergent question and provide divergent examples under stronger conditions such as in expectation or high probability.","This study is about ADAM: A Variance Reduction Analysis of ADAM. Despite of its outstanding performance, ADAM has been proved to be divergent for some specific problems. To this end, the authors present a variance reduction assumption, the results show that an ADAM-type algorithm converges, which means that it is the variance of gradients that causes the divergence of original Adam. We revisit the divergent question and provide divergent examples under stronger conditions such as in expectation or high probability.","This study is about Divergence Results and Convergence of a Variance Reduced Version of ADAM. Stochastic optimization algorithms using exponential moving averages of the past gradients, such as ADAM, RMSProp and AdaGrad, have been having great successes in many applications, especially in training deep neural networks. ADAM in particular stands out as efficient and robust. Despite of its outstanding performance, ADAM has been proved to be divergent for some specific problems. We revisit the divergent question and provide divergent examples under stronger conditions such as in expectation or high probability. Under a variance reduction assumption, the results show that an ADAM-type algorithm converges, which means that it is the variance of gradients that causes the divergence of original ADAM","Despite of its outstanding performance, ADAM has been proved to be divergent for some specific problems. Under a variance reduction assumption, the results show that an ADAM-type algorithm converges, which means that it is the variance of gradients that causes the divergence of original ADAM.","Under a variance reduction assumption, the results show that an ADAM-type algorithm converges, which means that it is the variance of gradients that causes the divergence of original ADAM. To this end, the authors present a variance reduced version of ADAM and provide a convergent analysis of the algorithm.",", the authors present a version of ADAM that converges and exhibits superior practical performances as the original Adam. We revisit the divergent question and provide divergent examples under stronger conditions such as in expectation or high probability. Under a variance reduction assumption, the results show that an ADAM-type algorithm converges, which means that it is the variance of gradients that causes the divergence of original ADAM.","Under a variance reduction assumption, the results show that an ADAM-type algorithm converges, which means that it is the variance of gradients that causes the divergence of original ADAM. We revisit the divergent question and provide divergent examples under stronger conditions such as in expectation or high probability."
4,http://arxiv.org/abs/2203.07456v3,Designing Underactuated Graspers with Dynamically Variable Geometry Using Potential Energy Map Based Analysis,section_plus_global,0.7339,3,section_plus_final,", this study is about Energy Maps and Tendon-Pulley Gripper Parameter Analysis. Energy maps are used to predict how a part will evolve in the grasp given a specific actuation input to the gripper. These friction-based energy maps were used to evaluate the importance of various tendon-pulley gripper parameters across nearly 6 million simulated grasping scenarios. Specifically, a variable palm width is needed to manipulate parts of varying scales, and a variable transmission ratio, or the ratio of the distal to the proximal pulley radii, is necessary to achieve a caging grasp. These maps were developed using a 3D model of the grasping reaction.",", this study is about Energy Maps and Tendon-Pulley Gripper Parameter Analysis. Energy maps are used to predict how a part will evolve in the grasp given a specific actuation input to the gripper. These friction-based energy maps were used to evaluate the importance of various tendon-pulley gripper parameters across nearly 6 million simulated grasping scenarios. Specifically, a variable palm width is needed to manipulate parts of varying scales, and a variable transmission ratio, or the ratio of the distal to the proximal pulley radii, is necessary to achieve a caging grasp. These maps were developed using a 3D model of the grasping reaction.","This study is about Designing Underactuated Graspers with Dynamically Variable Geometry Using Potential Energy Map Based Analysis. This study introduces an extension to the energy map method for in-hand manipulation. Energy maps are used to predict how a part will evolve in the grasp given a specific actuation input to the gripper. Previous approaches assumed frictionless contacts, but the results show analytically that friction can be included in the energy maps when using two-link underactuated fingers by understanding the evolution of the part-finger contact. These friction-based energy maps were used to evaluate the importance of various tendon-pulley gripper parameters across nearly 6 million simulated grasping scenarios. Specifically, a variable palm width is needed to manipulate parts of varying scales, and a variable",,Energy maps are used to predict how a part will evolve in the grasp given a specific actuation input to the gripper. These friction-based energy maps were used to evaluate the importance of various tendon-pulley gripper parameters across nearly 6 million simulated grasping scenarios.,Energy maps are used to predict how a part will evolve in the grasp given a specific actuation input to the gripper. These friction-based energy maps were used to evaluate the importance of various tendon-pulley gripper parameters across nearly 6 million simulated grasping scenarios.,"reaction. These friction-based energy maps were used to evaluate the importance of various tendon-pulley gripper parameters across nearly 6 million simulated grasping scenarios. Specifically, a variable palm width is needed to manipulate parts of varying scales, and a variable transmission ratio, or the ratio of the distal to the proximal pulley radii, is necessary to achieve a caging grasp."
5,http://arxiv.org/abs/2208.01636v2,A Roadmap for Greater Public Use of Privacy-Sensitive Government Data: Workshop Report,global_only,0.7,2,global_only,"This study is about A Roadmap for Greater Public Use of Privacy-Sensitive Government Data: Workshop Report. Government agencies collect and manage a wide range of ever-growing datasets. While such data has the potential to support research and evidence-based policy making, there are concerns that the dissemination of such data could infringe upon the privacy of the individuals (or organizations) from whom such data was collected. To appraise the current state of data sharing, as well as learn about opportunities for stimulating such sharing at a faster pace, a virtual workshop was held on May 21st and 26th, 2021, sponsored by the National Science Foundation (NSF) and National Institute of Standards and Technologies (NIST), and the White House Office of Science and Technology Policy (OSTP), where a",,"This study is about A Roadmap for Greater Public Use of Privacy-Sensitive Government Data: Workshop Report. Government agencies collect and manage a wide range of ever-growing datasets. While such data has the potential to support research and evidence-based policy making, there are concerns that the dissemination of such data could infringe upon the privacy of the individuals (or organizations) from whom such data was collected. To appraise the current state of data sharing, as well as learn about opportunities for stimulating such sharing at a faster pace, a virtual workshop was held on May 21st and 26th, 2021, sponsored by the National Science Foundation (NSF) and National Institute of Standards and Technologies (NIST), and the White House Office of Science and Technology Policy (OSTP), where a",,,,
6,http://arxiv.org/abs/2207.05150v2,Breaching the 2 LMP Approximation Barrier for Facility Location with Applications to k-Median,section_plus_global,0.7268,3,section_plus_final,"$α$ approximation if it outputs a solution $S\subseteq F$ satisfying $open(S) + d(F) \leq open(S^*) + αd(F^*)$ for any $S^* \subsetseq F$. An algorithm for UFL is called a Lagrangian Multiplier Preserving (LMP) $alpha$ approximation for $S$ and $F$. For UFL, Li [Li 13] presented an algorithm with the currently best known approximation of $α$.","$α$ approximation if it outputs a solution $S\subseteq F$ satisfying $open(S) + d(F) \leq open(S^*) + αd(F^*)$ for any $S^* \subsetseq F$. An algorithm for UFL is called a Lagrangian Multiplier Preserving (LMP) $alpha$ approximation for $S$ and $F$. For UFL, Li [Li 13] presented an algorithm with the currently best known approximation of $α$.","This study is about Breaching the 2 LMP Approximation Barrier for Facility Location with Applications to k-Median. The Uncapacitated Facility Location (UFL) problem is one of the most fundamental clustering problems: Given a set of clients $C$ and set of facilities $F$ in a metric space $(C \cup F, dist)$ with facility costs $open : F \to \mathbb{R}^+$, the goal is to find a set","An algorithm for UFL is called a Lagrangian Multiplier Preserving (LMP) $α$ approximation if it outputs a solution $S\subseteq F$ satisfying $open(S) + d(F) \leq open(S^*) + αd(F^*)$ for any $S^* \subsetseq F$. For UFL, Li [Li 13] presented an algorithm with the currently best known approximation","An algorithm for UFL is called a Lagrangian Multiplier Preserving (LMP) $α$ approximation if it outputs a solution $S\subseteq F$ satisfying $open(S) + d(S1) \leq open(S^*) + αd(S*^*$ for any $S^* \subsetseq F$. For general UFL, the authors introduce a new local search algorithm where each local","An algorithm for UFL is called a Lagrangian Multiplier Preserving (LMP) $α$ approximation if it outputs a solution $S\subseteq F$ satisfying $open(S) + d(F) \leq open(S^*) + αd(F^*)$ for any $S^* \subsetseq F$. In particular, we consider the following variant of a factor-revealing LP used in",
7,http://arxiv.org/abs/2208.06344v2,Modelleme ve Simulasyon,global_only,0.4924,2,global_only,"This study is about Modelleme ve Simulasyon. Computer modeling and simulation is used to analyze system behavior and evaluate strategies for operating in descriptive or predictive modes. Simulation models used in social sciences, risk management and cloud-based information systems are tried to be summarized, and information about agent-based modeling and Simulation approach is given. In this part of the book, modeling and simulations approaches that have been proposed since the 1970s have been tried to get presented.",,"This study is about Modelleme ve Simulasyon. Computer modeling and simulation is used to analyze system behavior and evaluate strategies for operating in descriptive or predictive modes. Simulation models used in social sciences, risk management and cloud-based information systems are tried to be summarized, and information about agent-based modeling and Simulation approach is given. In this part of the book, modeling and simulations approaches that have been proposed since the 1970s have been tried to get presented.",,,,
8,http://arxiv.org/abs/2211.15960v3,FC-PINO: High Precision Physics-Informed Neural Operators via Fourier Continuation,section_plus_global,1.0,4,section_plus_final,"the physics-informed neural operator (PINO) is a machine learning paradigm that has demonstrated promising results for learning solutions to partial differential equations (PDEs). It leverages the Fourier Neural Operator to learn solution operators in function spaces and leverages physics losses during training to penalize deviations from known physics laws. In this study, the authors present a new type of neural operator that is based on the physics losses of PDEs. The physics losses are caused by the fact that the PDE is a partial differential equation (PDE) that is not directly related to the physical laws of the universe. The results show that physics losses can be penalized in PDE solutions if they are not strictly related to known laws of physics. However, they can also penalize if they","the physics-informed neural operator (PINO) is a machine learning paradigm that has demonstrated promising results for learning solutions to partial differential equations (PDEs). It leverages the Fourier Neural Operator to learn solution operators in function spaces and leverages physics losses during training to penalize deviations from known physics laws. In this study, the authors present a new type of neural operator that is based on the physics losses of PDEs. The physics losses are caused by the fact that the PDE is a partial differential equation (PDE) that is not directly related to the physical laws of the universe. The results show that physics losses can be penalized in PDE solutions if they are not strictly related to known laws of physics. However, they can also penalize if they","The physics-informed neural operator (PINO) is a machine learning paradigm that has demonstrated promising results for learning solutions to partial differential equations (PDEs). It leverages the Fourier Neural Operator to learn solution operators in function spaces and leverages physics losses during training to penalize deviations from known physics laws. Spectral differentiation provides an efficient way to compute derivatives for the physics losses, but it inherently assumes periodicity. When applied to non-periodic functions, this assumption can lead to significant errors, including Gibbs phenomena near domain boundaries which degrade the accuracy of both function representations and derivative computations. To overcome this limitation, the authors introduce the FC-PINO (Fourier-Continuation-based Physics-Informed Neural Operator) architecture which extends the accuracy and efficiency of PIN",The physics-informed neural operator (PINO) is a machine learning paradigm that has demonstrated promising results for learning solutions to partial differential equations (PDEs). It leverages the Fourier Neural Operator to learn solution operators in function spaces and leverages physics losses during training to penalize deviations from known physics laws.,"The physics-informed neural operator (PINO) is a machine learning paradigm that has demonstrated promising results for learning solutions to partial differential equations (PDEs). Spectral differentiation provides an efficient way to compute derivatives for the physics losses, but it inherently assumes periodicity.","The physics-informed neural operator (PINO) is a machine learning paradigm that has demonstrated promising results for learning solutions to partial differential equations (PDEs). Spectral differentiation provides an efficient way to compute derivatives for the physics losses, but it inherently assumes periodicity.","The physics-informed neural operator (PINO) is a machine learning paradigm that has demonstrated promising results for learning solutions to partial differential equations (PDEs). Spectral differentiation provides an efficient way to compute derivatives for the physics losses, but it inherently assumes periodicity."
9,http://arxiv.org/abs/2212.05529v3,Weighted Tree Automata -- May it be a little more?,section_plus_global,0.7546,4,section_plus_final,"the authors present the basic definitions and some of the important results in a coherent form with full proofs. The concept of weighted tree automata is part of Automata Theory and it touches the area of Universal Algebra. In particular, the results show the proofs of the following theorems: • for commutative semirings: recognizable weighted tree languages can generate strictly more sets of values than weighted string automata can generate.","the authors present the basic definitions and some of the important results in a coherent form with full proofs. The concept of weighted tree automata is part of Automata Theory and it touches the area of Universal Algebra. In particular, the results show the proofs of the following theorems: • for commutative semirings: recognizable weighted tree languages can generate strictly more sets of values than weighted string automata can generate.","the authors present the basic definitions and some of the important results in a coherent form with full proofs. The concept of weighted tree automata is part of Automata Theory and it touches the area of Universal Algebra. In particular, the results show the proofs of the following results: • for commutative semirings: recognizable weighted tree languages in terms of rational weighted tree language (cf. Theorem 17.1.2), • for semidimensional weighted tree spaces: recognizable tree languages over fields and a pumping lemma which guarantees the existence of infinitely many trees in the support of the semantics of such wta.",the authors present the basic definitions and some of the important results in a coherent form with full proofs. The concept of weighted tree automata is part of Automata Theory and it touches the area of Universal Algebra. We will even prove a more general closure of regular weighted tree languages under such tree homomorphisms.,"the authors present the basic definitions and some of the important results in a coherent form with full proofs. Over semirings, the two semantics for weighted tree automata can be shown to coincide, but over strong bimonoids in general they differ. In contrast to words, trees with tree concatenation do not form a monoid; this is the reason why the algebraic mentioned above for weighted automata on words has been replaced by a universal algebra approach","the authors present the basic definitions and some of the important results in a coherent form with full proofs. In particular, the results show the proofs of the following ch ar ac te ri za ti on theorems: • for commutative semirings: recognizable weighted tree languages in terms of rational weighted tree automata (cf. Theorem 17.1.2), • for semidimensional semidirected weighted tree language over fields:",the authors present the basic definitions and some of the important results in a coherent form with full proofs. The concept of weighted tree automata is part of Automata Theory and it touches the area of Universal Algebra. The results show that weighted tree languages can generate strictly more sets of values than weighted string automata can generate.
