gold_split,target_year,entry_id,title,main_category,route_hint,training_quality_bucket,pdf_filename,pdf_uploaded_for_second_pass,second_pass_status,summary_changed,silver_reference_draft,second_pass_summary,second_pass_notes
test,2022,http://arxiv.org/abs/2211.15417v3,Proof-of-randomness protocol for blockchain consensus: a case of Macau algorithms,cs.CR,section_plus_global,good,2211.15417.pdf,True,pdf_checked,True,"A proof-of-randomness (PoR) protocol is presented as a fair and low energy-cost consensus mechanism for blockchains. In this paper, we give the consensus mechanism of the PoR protocol, and classify it into a new kind of randomized algorithms called Macau. Each network node of a blockchain may use a true random number generator (TRNG) and hash algorism to fulfil the PoR protocol. The PoR protocol could generate a blockchain without any competition of computing power or stake of cryptocurrency.","This paper proposes a blockchain consensus method called proof of randomness. Instead of making participants compete through heavy computation or coin ownership, each node uses true random numbers and hashing to help decide who can add to the chain. The authors argue that this could make block creation fairer and much less energy intensive than proof-of-work systems. They also frame the method as part of a new class of randomized algorithms, which they call Macau algorithms, and discuss possible links to quantum random-number hardware and quantum key distribution.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2022,http://arxiv.org/abs/2207.02404v2,Careful Seeding for k-Medois Clustering with Incremental k-Means++ Initialization,cs.LG,section_plus_global,good,2207.02404.pdf,True,pdf_checked,True,"K-medoids clustering is a popular variant of k-means clustering and widely used in pattern recognition and machine learning. An improved k-medoids clustering algorithm, called INCKM algorithm, which is the first to apply incremental initialization to k-medoids clustering, was recently proposed to overcome this drawback. A main drawback of k-medoids clustering is that an improper initialization can cause it to get trapped in local optima. The INCKM algorithm requires the construction of a subset of candidate medoids determined by one hyperparameter for initialization, and meanwhile, it always fails when dealing with imbalanced datasets with an incorrect hyperparameter selection.","This paper looks at a common weakness in k-medoids clustering: bad starting points can lead to poor final clusters. The authors propose a new incremental initialization method, INCKPP, that adds cluster centers one at a time using a k-means++ style strategy, so it is less sensitive to hand-tuned settings than earlier methods. They also introduce a faster version, INCKPPsample. Across synthetic and real datasets, including imbalanced ones, the proposed methods produce better clustering results, while the sampled version improves efficiency without giving up much accuracy.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2022,http://arxiv.org/abs/2207.00873v2,Energy-efficient User Clustering for UAV-enabled Wireless Networks Using EM Algorithm,cs.NI,section_plus_global,good,2207.00873.pdf,True,pdf_checked,True,"Unmanned Aerial Vehicles (UAVs) can be used to provide wireless connectivity to support the existing infrastructure in hot-spots or replace it in cases of destruction. In this paper, we propose an energy-efficient user clustering mechanism based on Gaussian mixture models (GMM) using a modified Expected-Maximization (EM) algorithm. The proposed algorithm improves the energy efficiency of the system by 25% and link reliability by 18.3% compared to other baseline methods. UAV-enabled wireless provides several advantages in network performance due to drone small cells (DSCs) mobility despite the limited onboard energy.","This paper studies how to group users and place drones in UAV-based wireless networks more efficiently. The authors propose a clustering method based on Gaussian mixture models and a modified expectation-maximization procedure, meant to serve as an initial deployment step before later optimization. The goal is to reduce power use and interference while keeping connections reliable. In their experiments, the method improved energy efficiency by about 25 percent and link reliability by about 18.3 percent compared with baseline approaches.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2022,http://arxiv.org/abs/2211.15975v4,Analyzing Infrastructure LiDAR Placement with Realistic LiDAR Simulation Library,cs.RO,section_plus_global,good,2211.15975.pdf,True,pdf_checked,True,"Recently, Vehicle-to-Everything(V2X) cooperative perception has attracted increasing attention. In this paper, we investigate the problem of infrastructure sensor placement and propose a pipeline that can efficiently and effectively find optimal installation positions for infrastructure sensors in a realistic simulated environment. Then, we analyze the correlation between the point cloud distribution and perception accuracy by calculating the density and uniformity of regions of interest. Infrastructure sensors play a critical role in this research field; however, how to find the optimal placement of infrastructure sensors is rarely studied.","This paper studies where roadside LiDAR sensors should be placed so that vehicle-to-everything perception systems work better. The authors build a realistic LiDAR simulation library inside CARLA and use it to compare different installation layouts with multiple detection models. Their pipeline searches for stronger placements and then analyzes how point-cloud density and uniformity relate to perception quality. In the standard lane setting they report about a 15 percent gain in average precision over a conventional placement scheme, suggesting that better sensor placement alone can noticeably improve detection performance.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2022,http://arxiv.org/abs/2212.08239v2,Discovering Structural Hole Spanners in Dynamic Networks via Graph Neural Networks,cs.SI,section_plus_global,good,2212.08239.pdf,True,pdf_checked,True,"Structural Hole (SH) theory states that the node which acts as a connecting link among otherwise disconnected communities gets positional advantages in the network. We analyze the efficiency of the proposed model through exhaustive experiments, and our results show that the proposed GNN-SHS model is at least 31.8 times faster and, on an average 671.6 times faster than the comparative method, providing a considerable efficiency advantage. These nodes are called Structural Hole Spanners (SHS). SHSs have many applications, including viral marketing, information dissemination, community detection, etc.","This paper focuses on finding structural hole spanners, the nodes that act as bridges between otherwise weakly connected groups in a changing network. Because finding the exact best set is computationally hard, the authors train a graph neural network to identify strong candidates across sequences of network snapshots. The method is designed for dynamic networks rather than fixed ones, which makes it closer to real social and information networks. In experiments, the proposed model was dramatically faster than the comparison method while still aiming to recover the most important bridge nodes.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2022,http://arxiv.org/abs/2203.06008v3,Delaunay-like Triangulation of Smooth Orientable Submanifolds by L1-Norm Minimization,cs.CG,global_only,borderline,2203.06008.pdf,True,pdf_checked,True,"In this paper, we study the shape reconstruction problem, when the shape we wish to reconstruct is an orientable smooth d-dimensional submanifold of the Euclidean space. Assuming we have as input a simplicial complex K that approximates the submanifold (such as the Cech complex or the Rips complex), we recast the problem of reconstucting the submanifold from K as a L1-norm minimization problem in which the optimization variable is a d-chain of K. Providing that K satisfies certain reasonable conditions, we prove that the considered minimization problem has a unique solution which triangulates the submanifold and coincides with the flat Delaunay complex introduced and studied in a companion paper. Since the objective is a weighted L1-norm and the constraints are linear, the triangulation process can thus be implemented by linear programming.","This is a geometry paper about reconstructing a smooth shape from a rough combinatorial approximation. The authors show that, under suitable conditions, the reconstruction problem can be rewritten as a weighted L1 optimization problem with linear constraints. That matters because it turns the triangulation task into something that can be solved with standard linear programming tools. They also prove that the solution is unique and matches a Delaunay-like triangulation studied in related work.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2022,http://arxiv.org/abs/2209.11229v3,Decomposition horizons and a characterization of stable hereditary classes of graphs,cs.DM,global_only,borderline,2209.11229.pdf,True,pdf_checked,True,"The notions of bounded-size and quasibounded-size decompositions with bounded treedepth base classes are central to the structural theory of graph sparsity introduced by two of the authors years ago, and provide a characterization of both classes with bounded expansions and nowhere dense classes. For example, we show that every graph G in a stable, hereditary class of graphs \mathscr C has a clique or a stable set of size Ω_\mathscr C,ε(|G|^1/2-ε), for every ε>0, which is tight in the sense that it cannot be improved to Ω_\mathscr C(|G|^1/2). Strong connections of this theory with model theory led to considering first-order transductions, which are logically defined graph transformations, and to initiate a comparative study of combinatorial and model theoretical properties of graph classes, with an emphasis on the model theoretical notions of dependence (or NIP) and stability. In this paper, we first prove that every hereditary class with quasibounded-size decompositions with dependent (resp.\ stable) base classes is itself dependent (resp.\ stable).","This paper is a theoretical result about which hereditary graph classes count as stable. The authors connect ideas from graph decompositions and model theory, and show that stable hereditary graph classes are exactly the ones that admit quasibounded-size decompositions with bounded-shrubdepth base classes. In simpler terms, the paper gives a structural description of an important family of graphs. It also yields consequences about the kinds of large cliques or large independent sets graphs in these classes must contain.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2022,http://arxiv.org/abs/2202.10742v2,Acceleration of Gossip Algorithms through the Euler-Poisson-Darboux Equation,cs.DC,global_only,bad,2202.10742.pdf,True,pdf_checked,True,"Gossip algorithms and their accelerated versions have been studied exclusively in discrete time on graphs. In this work, we take a different approach, and consider the scaling limit of gossip algorithms in both large graphs and large number of iterations. These limits lead to well-known partial differential equations (PDEs) with insightful properties. On lattices, we prove that the non-accelerated gossip algorithm of Boyd et al. [2006] converges to the heat equation, and the accelerated Jacobi polynomial iteration of Berthier et al. [2020] converges to the Euler-Poisson-Darboux (EPD) equation - a damped wave equation.","This paper explains accelerated gossip algorithms by connecting them to continuous equations from mathematical physics. In the large-scale limit, the standard gossip method behaves like the heat equation, while an accelerated version behaves like the Euler-Poisson-Darboux equation, a damped wave equation. That difference helps explain why the accelerated method can spread information much faster across a network. The paper also includes simulations showing that these continuous models closely track the behavior of the original discrete algorithms.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2023,http://arxiv.org/abs/2309.11975v2,Inferring Capabilities from Task Performance with Bayesian Triangulation,cs.AI,section_plus_global,good,2309.11975.pdf,True,pdf_checked_with_file_format_warnings,True,"As machine learning models become more general, we need to characterise them in richer, more meaningful ways. We describe a method to infer the cognitive profile of a system from diverse experimental data. We showcase the potential for capability-oriented evaluation. To do so, we introduce measurement layouts that model how task-instance features interact with system capabilities to affect performance.","This paper proposes a Bayesian way to infer what capabilities a system likely has from how it performs across many tasks. Instead of relying on a single overall score, the method models how task features interact with hidden abilities and then estimates a richer cognitive profile. The authors demonstrate the approach on AnimalAI competitors and on agents tested with object-permanence tasks, showing that the resulting profiles are more informative and more predictive than simple benchmark averages. The main contribution is an evaluation framework for describing systems in terms of capabilities rather than just total performance.",matched PDF in zip; summary revised using phase-2 abstract plus partial PDF text extraction with format warnings
test,2023,http://arxiv.org/abs/2307.02518v2,Analyzing the Performance of ChatGPT in Cardiology and Vascular Pathologies,cs.CL,section_plus_global,good,2307.02518.pdf,True,pdf_checked,True,"The article aims to analyze the performance of ChatGPT, a large language model developed by OpenAI, in the context of cardiology and vascular pathologies. The results showed that ChatGPT outperformed the students, scoring 175 out of 190 correct answers with a percentage of 92.10\%, while the two students achieved scores of 163 and 159 with percentages of 85.78\% and 82.63\%, respectively. The study evaluated the accuracy of ChatGPT in answering challenging multiple-choice questions (QCM) using a dataset of 190 questions from the Siamois-QCM platform. The goal was to assess ChatGPT potential as a valuable tool in medical education compared to two well-ranked students of medicine.","This study tests ChatGPT on 190 multiple-choice questions in cardiology and vascular pathology from the Siamois-QCM platform. ChatGPT answered 175 correctly, or 92.1 percent, which was higher than the scores of the two strong medical students used for comparison. The paper suggests that large language models could be useful as study aids in medical education, at least for question answering in this domain. At the same time, the authors note that more refinement and further evaluation are still needed before treating such systems as dependable domain-specific tools.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
